record_type;object_id;related_object_ids;question_de_decision;fait_ou_hypothese;valeur;unite;periode_ou_horizon;systeme_de_reference;couche_de_verite;importable_dans_ads;classe_marque;canal;attribution;incrementalite;preuve;prochaine_action
volume;STG-M12;COH-ATF-001|EVT-008;combien de comptes sont encore présents douze mois après leur activation;clients présents à M12 fictifs;2;clients;dernière activation fictive plus 12 mois;produit et facturation fictifs;vérité produit et financière fictive;non retenu comme signal importable dans le scénario fictif - conserver dans le produit et la finance;marque et hors marque à séparer;agrégé à ventiler;non applicable à cet horizon;non démontrée;aucune preuve réelle;déclarer la cohorte mûre après la dernière activation plus douze mois
ratio;RATIO-ATF-001;STG-CLICK|STG-LEAD;quelle part des clics devient un lead;taux clic vers lead;4;pourcent;cohorte pilote fictive;calcul statique;dérivé de volumes fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;80 divisé par 2000;ne pas conclure avant retrait du spam
ratio;RATIO-ATF-002;STG-LEAD|STG-ICP;quelle part des leads correspond à la cible;taux lead vers ICP;40;pourcent;cohorte pilote fictive;calcul statique;dérivé du CRM fictif;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;32 divisé par 80;vérifier stabilité des critères ICP
ratio;RATIO-ATF-003;STG-ICP|STG-SQL;quelle part des ICP est acceptée par la vente;taux ICP vers SQL;50;pourcent;cohorte pilote fictive;calcul statique;dérivé du CRM fictif;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;16 divisé par 32;vérifier cohérence entre commerciaux
ratio;RATIO-ATF-004;STG-SQL|STG-OPP;quelle part des SQL devient opportunité;taux SQL vers opportunité;50;pourcent;cohorte pilote fictive;calcul statique;dérivé du CRM fictif;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;8 divisé par 16;vérifier la définition d’opportunité
ratio;RATIO-ATF-005;STG-OPP|STG-SIGN;quelle part des opportunités signe;taux opportunité vers contrat;50;pourcent;cohorte pilote fictive;calcul statique;dérivé du CRM fictif;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;4 divisé par 8;rapprocher contrats et facturation
ratio;RATIO-ATF-006;STG-SIGN|STG-ACT;quelle part des signés s’active;taux contrat vers activation;75;pourcent;cohorte pilote fictive;calcul statique;dérivé du produit fictif;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;3 divisé par 4;analyser le contrat non activé
ratio;RATIO-ATF-007;STG-ACT|STG-M12;quelle part des activés est présente à M12;taux activation vers présence M12;66.67;pourcent;cohorte pilote fictive;calcul statique;dérivé du produit fictif;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;2 divisé par 3;ne pas extrapoler au-delà de M12
ratio;RATIO-ATF-008;STG-CLICK|STG-SIGN;quelle part des clics signe;taux clic vers contrat;0.2;pourcent;cohorte pilote fictive;calcul statique;dérivé de systèmes fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;4 divisé par 2000 puis multiplié par 100;ne pas masquer le petit dénominateur signé
ratio;RATIO-ATF-009;STG-CLICK|STG-M12;quelle part des clics est encore cliente à M12;taux clic vers présence M12;0.1;pourcent;cohorte pilote fictive;calcul statique;dérivé de systèmes fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;2 divisé par 2000 puis multiplié par 100;présenter le nombre brut avec le taux
économie;ECO-ATF-001;STG-CLICK|COUT-ATF-PILOT-MEDIA;quel est le CPC média;CPC média fictif;6;EUR par clic;cohorte pilote fictive;calcul statique;dérivé du média et de la plateforme fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;12000 divisé par 2000;ne pas confondre avec un coût d’acquisition complet
économie;ECO-ATF-002;STG-LEAD|COUT-ATF-PILOT-MEDIA;quel est le CPL média;CPL média fictif;150;EUR par lead;cohorte pilote fictive;calcul statique;dérivé du média et du CRM fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;12000 divisé par 80;retirer spam et doublons avant décision
économie;ECO-ATF-003;STG-LEAD|COUT-ATF-PILOT-TOTAL;quel est le CPL complet;CPL complet fictif;300;EUR par lead;cohorte pilote fictive;calcul statique;dérivé du coût complet et du CRM fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;24000 divisé par 80;ne pas le comparer à un CPL média sans signaler le périmètre
économie;ECO-ATF-004;STG-SQL|COUT-ATF-PILOT-TOTAL;quel est le coût complet par SQL;coût complet par SQL fictif;1500;EUR par SQL;cohorte pilote fictive;calcul statique;dérivé du coût complet et du CRM fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;24000 divisé par 16;faire valider la définition SQL
économie;ECO-ATF-005;STG-OPP|COUT-ATF-PILOT-TOTAL;quel est le coût complet par opportunité;coût complet par opportunité fictif;3000;EUR par opportunité;cohorte pilote fictive;calcul statique;dérivé du coût complet et du CRM fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;24000 divisé par 8;faire valider la définition d’opportunité
économie;ECO-ATF-006;STG-SIGN|COUT-ATF-PILOT-TOTAL;quel est le CAC complet par contrat signé;CAC complet signé fictif;6000;EUR par contrat;cohorte pilote fictive;calcul statique;dérivé du coût complet et du CRM fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;24000 divisé par 4;ne pas le présenter comme un CAC activé
économie;ECO-ATF-007;STG-ACT|COUT-ATF-PILOT-TOTAL;quel est le CAC complet par compte activé;CAC complet activé fictif;8000;EUR par compte;cohorte pilote fictive;calcul statique;dérivé du coût complet du CRM et du produit fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;24000 divisé par 3;documenter le seuil d’activation
économie;ECO-ATF-008;STG-M12|COUT-ATF-PILOT-TOTAL;quel est le coût complet par client présent à M12;coût complet par présent M12 fictif;12000;EUR par client;cohorte pilote fictive;calcul statique;dérivé du coût complet du produit et de la finance fictifs;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;24000 divisé par 2;ne pas appeler ce nombre LTV ou CAC prédictif
économie;ECO-ATF-009-REVENU;SCN-ATF-PILOT;quel revenu mensuel moyen est facturé par client;abonnement mensuel moyen fictif;1500;EUR par mois et par client;hypothèse fictive;facturation fictive;hypothèse financière;non;non applicable;non applicable;non applicable;non applicable;aucune preuve réelle;remplacer par le revenu facturé après remises avoirs et impayés
économie;ECO-ATF-009-COUTS;SCN-ATF-PILOT;quels coûts varient chaque mois avec un client;coûts variables mensuels fictifs;600;EUR par mois et par client;hypothèse fictive;finance fictive;hypothèse financière;non;non applicable;non applicable;non applicable;non applicable;aucune preuve réelle;inclure service hébergement paiement données et support variables
économie;ECO-ATF-009;ECO-ATF-009-REVENU|ECO-ATF-009-COUTS;quelle valeur mensuelle contribue aux coûts fixes;marge contributive mensuelle supposée;900;EUR par mois et par client;hypothèse fictive;finance fictive;hypothèse financière;non;non applicable;non applicable;non applicable;non applicable;1500 de revenu moins 600 de coûts variables;faire valider prix coûts variables remises et impayés
économie;ECO-ATF-010;ECO-ATF-007|ECO-ATF-009;combien de mois de marge couvriraient le CAC complet activé;payback théorique après activation;8.9;mois;hypothèse statique;calcul statique;dérivé sous hypothèses;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;8000 divisé par 900 puis arrondi à un dixième;ne pas présenter comme délai de trésorerie observé
économie;ECO-ATF-011;SCN-ATF-PILOT;combien dure le cycle commercial supposé;cycle commercial fictif;3;mois;hypothèse fictive;CRM fictif;hypothèse temporelle;non;non applicable;agrégé;à documenter;non démontrée;aucune preuve réelle;remplacer par une durée de cohorte observée
économie;ECO-ATF-012;SCN-ATF-PILOT;combien dure la mise en route avant première valeur;onboarding fictif;1;mois;hypothèse fictive;produit fictif;hypothèse temporelle;non;non applicable;agrégé;à documenter;non démontrée;aucune preuve réelle;remplacer par une durée de cohorte observée
économie;ECO-ATF-013;ECO-ATF-010|ECO-ATF-011|ECO-ATF-012;quel délai sépare le premier clic de la récupération théorique;délai théorique depuis le premier clic;12.9;mois;hypothèse statique;calcul statique;dérivé sous hypothèses;non;marque et hors marque à séparer;agrégé à ventiler;hérite de la règle de cohorte;non démontrée;3 plus 1 plus 8.9;intégrer le calendrier réel des encaissements et le churn
planification;COUT-ATF-SETUP-PLAN;SCN-ATF-PLAN;quel coût de lancement unique est illustré;page architecture de mesure et lancement fictifs;8000;EUR;démarrage;plan de coûts fictif;vérité de planification fictive;non;non applicable;portefeuille à définir;non applicable;non applicable;clé COUT-ATF-001 du fichier 05;ne pas répéter chaque année sans nouveau périmètre
planification;COUT-ATF-RUN-ANNUAL;SCN-ATF-PLAN;quel run annuel est illustré;48000 média plus 18000 pilotage plus 6000 créations plus 4000 data plus 12000 temps commercial;88000;EUR par an;année complète;plan de coûts fictif;vérité de planification fictive;non;marque et hors marque à séparer;portefeuille à définir;à documenter;non démontrée;clés COUT-ATF-002 à COUT-ATF-006 du fichier 05;ne pas présenter comme recommandation budgétaire
planification;COUT-ATF-TOTAL-12;COUT-ATF-SETUP-PLAN|COUT-ATF-RUN-ANNUAL;quel TCO cumulé est illustré à douze mois;TCO fictif à 12 mois;96000;EUR;12 mois cumulés;plan de coûts fictif;vérité de planification fictive;non;non applicable;portefeuille à définir;non applicable;non applicable;8000 plus 88000;ne pas diviser par la cohorte sans aligner les périmètres
planification;COUT-ATF-TOTAL-36;COUT-ATF-SETUP-PLAN|COUT-ATF-RUN-ANNUAL;quel TCO cumulé est illustré à trente-six mois;TCO fictif à 36 mois;272000;EUR;36 mois cumulés;plan de coûts fictif;vérité de planification fictive;non;non applicable;portefeuille à définir;non applicable;non applicable;8000 plus trois années de 88000;ne pas ajouter le total 12 mois
planification;COUT-ATF-TOTAL-60;COUT-ATF-SETUP-PLAN|COUT-ATF-RUN-ANNUAL;quel TCO cumulé est illustré à soixante mois;TCO fictif à 60 mois;448000;EUR;60 mois cumulés;plan de coûts fictif;vérité de planification fictive;non;non applicable;portefeuille à définir;non applicable;non applicable;8000 plus cinq années de 88000;ne pas ajouter les totaux 12 et 36 mois
inconnue;UNK-ATF-001;CAM-S-BR-001|CAM-S-NB-001;la marque masque-t-elle le hors marque;répartition marque et hors marque;à confirmer;part du coût et des résultats;cohorte pilote fictive;plateforme fictive;inconnue;non;à confirmer;Search;à documenter;non démontrée;aucune preuve réelle;ventiler avant tout arbitrage de budget
inconnue;UNK-ATF-002;CAM-S-NB-001|CAM-PMAX-001|CAM-DG-001;quel canal a porté chaque étape;répartition Search Performance Max Demand Gen;à confirmer;coûts volumes et clients;cohorte pilote fictive;plateforme CRM et produit fictifs;inconnue;non;à confirmer;à confirmer;à documenter;non démontrée;aucune preuve réelle;relier les clés campagne au CRM sans donnée en clair
inconnue;UNK-ATF-003;MES-013;combien de trafic invalide reste dans les clics;trafic invalide;à confirmer;clics et EUR;cohorte pilote fictive;plateforme et journaux fictifs;inconnue;non;à confirmer;agrégé;à documenter;non démontrée;aucune preuve réelle;quantifier et documenter la règle d’exclusion
inconnue;UNK-ATF-004;MES-014;combien de spam reste dans les leads;spam et doublons;à confirmer;leads;cohorte pilote fictive;CRM fictif;inconnue;non;à confirmer;agrégé;à documenter;non démontrée;aucune preuve réelle;requalifier la cohorte après contrôle
inconnue;UNK-ATF-005;MES-006|MES-007|MES-008;les flux suivent-ils la décision documentée de la CMP;mesure et consentement;à confirmer;statut;configuration à tester;site fictif;inconnue;non;non applicable;agrégé;non applicable;non applicable;aucune preuve réelle;faire tester et qualifier par les personnes compétentes
inconnue;UNK-ATF-006;MES-015;quelle règle donne le crédit aux campagnes;fenêtre et modèle d’attribution;à confirmer;paramètres;cohorte pilote fictive;plateforme fictive;inconnue;non;à confirmer;agrégé;à confirmer;non démontrée;aucune preuve réelle;documenter puis présenter les limites
inconnue;UNK-ATF-007;MES-016;combien de clients n’auraient pas existé sans la publicité;clients incrémentaux;à confirmer;clients;cohorte pilote fictive;protocole à créer;inconnue;non;à confirmer;agrégé;non suffisant;à mesurer;aucune preuve réelle;concevoir un test proportionné avant affirmation causale
inconnue;UNK-ATF-008;STG-M12;que devient la cohorte après M12;rétention marge et coûts au-delà de M12;à confirmer;mois et EUR;après M12;produit facturation et finance fictifs;inconnue;non;à confirmer;agrégé;à documenter;non démontrée;aucune preuve réelle;attendre la maturité et éviter une LTV inventée
décision;DEC-ATF-001;UNK-ATF-001|UNK-ATF-002|UNK-ATF-003|UNK-ATF-004|UNK-ATF-005|UNK-ATF-006|UNK-ATF-007|UNK-ATF-008;faut-il augmenter le budget maintenant;les nombres agrégés ne suffisent pas à prouver la rentabilité incrémentale;ne pas augmenter sans conditions;arbitrage fictif;avant nouvelle hausse;direction fictive;décision fictive;non;à confirmer;agrégé;insuffisante;non démontrée;inconnues listées ci-dessus;séparer les périmètres fiabiliser les clés puis lancer un test limité
